Número de empleado	Mes	Día	Horas trabajadas  
100	1	5	8  
101	1	12	7  
102	1	20	6  
103	1	25	9  
104	1	30	5  
105	2	3	8  
106	2	10	7  
107	2	15	6  
108	2	22	9  
109	2	28	5  
110	3	4	8  
111	3	11	7  
112	3	18	6  
113	3	24	9  
114	3	29	5  
115	4	2	8  
116	4	9	7  
117	4	16	6  
118	4	21	9  
119	4	27	5  
120	5	6	8  
121	5	13	7  
122	5	19	6  
123	5	23	9  
124	5	31	5  
125	6	5	8  
126	6	12	7  
127	6	18	6  
128	6	24	9  
129	6	30	5  
130	7	3	8  
100	7	10	7  
101	7	17	6  
102	7	22	9  
103	7	28	5  
104	8	4	8  
105	8	11	7  
106	8	18	6  
107	8	25	9  
108	8	30	5  
109	9	2	8  
110	9	8	7  
111	9	15	6  
112	9	21	9  
113	9	29	5  
114	10	5	8  
115	10	12	7  
116	10	20	6  
117	10	26	9  
118	10	31	5  
119	11	3	8  
120	11	10	7  
121	11	17	6  
122	11	22	9  
123	11	28	5  
124	12	6	8  
125	12	13	7  
126	12	19	6  
127	12	24	9  
128	12	30	5  

	
