La mundialmente conocida hamburguesería Coco’s Burger desea registrar la información de las ventas de la primera semana de Agosto 2023 de su local ubicado en Canelones, Uruguay.

Por cada venta se registra:
•    Código de hamburguesa (entero de 1 a 5)
•    Día (entero de 1 - Lunes a 7 - Domingo)
•    Cantidad vendida (entero)
•  Tipo de Acompañamiento ('B' – con batatas / 'P' – con papas / 'C' – Aros de cebolla / 'X' – sin acompañamiento)

Pueden existir varios registros de ventas para la misma hamburguesa. El fin de la carga de datos se indica con un código de hamburguesa igual a 0.

A este lote se le precede otro ordenado por número de hamburguesa con la siguiente información:
•    Código de hamburguesa (1 a 5)
•    Precio (float)
•    Stock al comienzo de la semana (entero)

Se pide determinar e informar:
A)	Por cada hamburguesa, la cantidad de unidades vendidas y el total recaudado.
B)	La hamburguesa más vendida el viernes.
C)	Los días que se vendieron hamburguesas acompañadas de Batatas pero no se vendieron hamburguesas acompañadas de Aros de Cebolla.
D)	Las hamburguesas que lograron un sold out (vendieron todo)
E)	Por cada día y acompañamiento, la cantidad de hamburguesas vendidas.

Código de hamburguesa	Precio	Stock inicial  
1	350.50	100  
2	420.75	80  
3	390.00	90  
4	450.25	70  
5	500.00	60  

Código de hamburguesa	Día	Cantidad vendida	Tipo de Acompañamiento  
1	1	5	P  
2	2	3	B  
3	3	7	C  
4	4	2	X  
5	5	6	P  
1	6	4	B  
2	7	8	C  
3	1	5	X  
4	2	3	P  
5	3	7	B  
1	4	6	C  
2	5	2	X  
3	6	9	P  
4	7	4	B  
5	1	3	C  
1	2	5	X  
2	3	7	P  
3	4	6	B  
4	5	2	C  
5	6	8	X

	
