CódigoCiudad	NombreCiudad	codigoprovincia
1001	Montevideo	1
1002	Canelones	2
1003	Salto	3
1004	Paysandú	4
1005	Rivera	5
1006	Maldonado	6
1007	Tacuarembó	7
1008	Artigas	8
1009	Durazno	9
1010	Rocha	10
1011	Florida	11
1012	Lavalleja	12
1013	San José	13
1014	Colonia	14
1015	Cerro Largo	15
1016	Treinta y Tres	16
1017	Soriano	17
1018	Río Negro	18
1019	Flores	19
1020	Montevideo Rural	1
1021	Piriápolis	6
1022	Atlántida	2
1023	Mercedes	17
1024	Carmelo	14
1025	Nueva Palmira	14
1026	San Carlos	6
1027	Toledo	2
1028	La Paloma	10
1029	Paso de los Toros	7
1030	Minas	12
1031	Trinidad	19
1032	Bella Unión	8
1033	Guichón	4
1034	San Ramón	2
1035	Fray Bentos	18
1036	Las Piedras	2
1037	Santa Lucía	2
1038	Nueva Helvecia	14
1039	Libertad	13

	
CodigoCiudad	Visibilidad	Temperatura	Dia	Mes	Año
1001	0	18	15	1	2023
1002	1	22	16	1	2023
1003	2	25	17	1	2023
1004	3	20	18	1	2023
1005	4	16	19	1	2023
1006	5	24	20	1	2023
1007	0	19	21	1	2023
1008	3	21	22	1	2023
1009	1	23	23	1	2023
1010	4	18	24	1	2023
1011	2	20	25	1	2023
1012	1	22	26	1	2023
1013	2	24	27	1	2023
1014	3	19	28	1	2023
1015	0	17	29	1	2023
1016	5	25	30	1	2023
1017	1	21	31	1	2023
1018	3	20	1	2	2023
1019	1	22	2	2	2023
1020	2	23	3	2	2023
1021	1	18	4	2	2023
1022	1	22	5	2	2023
1023	3	25	6	2	2023
1024	0	20	7	2	2023
1025	4	16	8	2	2023
1026	1	24	9	2	2023
1027	3	19	10	2	2023
1028	1	21	11	2	2023
1029	4	23	12	2	2023
1030	2	18	13	2	2023
1031	5	20	14	2	2023
1032	1	22	15	2	2023
1033	3	24	16	2	2023
1034	1	19	17	2	2023
1035	4	17	18	2	2023
1036	1	25	19	2	2023
1037	3	21	20	2	2023
1038	1	20	21	2	2023
1039	5	22	22	2	2023
1040	2	23	23	2	2023

	
	
