CARGA STRUCT
12345678 10 15.50
23456789 20 25.75
34567890 15 12.80
45678901 30 20.00
56789012 25 18.25

LOTE PROCESO CON DATOS DE VENTA
nroart   cl m cant
12345678 1 1 2     
12345678 1 2 3
12345678 1 3 2
23456789 1 4 3
23456789 1 5 3
23456789 1 6 3
34567890 1 7 2
34567890 1 8 1
34567890 1 9 1
45678901 2 10 9
45678901 2 11 11
45678901 2 12 6   
56789012 2 1 2
56789012 2 2 1
56789012 2 3 2
34567890 2 7 1
34567890 2 8 1
34567890 2 9 1
12345678 3 1 2
23456789 4 2 1
34567890 5 3 1
0

PRO B => sale el art 1 y 4
12345678 1 1 3    
12345678 1 2 3
12345678 1 3 2
23456789 1 4 3
23456789 1 5 3
23456789 1 6 3
34567890 1 7 2
34567890 1 8 1
34567890 1 9 1
45678901 2 10 9
45678901 2 11 11
45678901 2 12 10  
56789012 2 1 2
56789012 2 2 1
56789012 2 3 2
34567890 2 7 1
34567890 2 8 1
34567890 2 9 1
12345678 3 1 2
23456789 4 2 1
34567890 5 3 1
0
